"","Open","High","Low","Close","Volume","Unadj.Close","Div","Split","Adj.Div"
"9389",88.2474354517385,89.6691996895721,86.2863813305888,86.7766448608762,10499965.1860336,110.625,NA,NA,NA
"9390",86.1393022715025,88.4435408638535,80.697377085312,82.3642730882893,15019983.2234772,105,NA,NA,NA
"9391",81.4817987337719,88.0513300396235,81.0405615565132,87.7571719214511,12709363.6688555,111.875,NA,NA,NA
"9392",88.0513300396235,90.3065422789457,86.3354076836175,87.4630138032786,10460573.1064541,111.5,NA,NA,NA
"9393",86.0902759184738,86.0902759184738,80.6483507322832,82.3642730882893,18707413.3265079,105,NA,NA,NA
"9394",82.3642730882893,82.5603785004042,80.0600344959383,81.5798514398294,13555592.2262944,104,NA,NA,NA
"9395",80.0110081429096,84.0801954442953,79.4226919065647,83.5409055609791,10865457.3936529,106.5,NA,NA,NA
"9396",83.5409055609791,88.6396462759685,83.4918792079504,88.2474354517385,12208230.1257263,112.5,NA,NA,NA
"9397",88.2474354517385,89.3750415713996,85.5019596821289,86.6785921548187,7881985.42472542,110.5,NA,NA,NA
"9398",85.8941705063588,88.7376989820259,85.2568279169851,86.7766448608762,8053704.29590199,110.625,NA,NA,NA
"9399",87.8552246275086,88.3945145108247,86.3844340366462,87.4630138032786,6232107.45088191,111.5,NA,NA,NA
"9400",88.2474354517385,88.7867253350547,86.62956580179,87.8552246275086,5349291.4279437,112,NA,NA,NA
"9401",87.0708029790487,89.1299098062559,86.8256712139049,87.3649610972211,5207658.41689903,111.375,NA,NA,NA
"9402",86.6785921548187,87.1688556851061,83.5899319140079,84.8155907397264,7067372.51691673,108.125,NA,NA,NA
"9403",85.6000123881863,85.6490387412151,84.0801954442953,84.4233799154965,4629270.50410905,107.625,NA,NA,NA
"9404",83.6389582670366,85.9922232124163,83.5409055609791,84.6194853276115,5985428.89429196,107.875,NA,NA,NA
"9405",84.8688396975731,86.6850034157976,84.5252411562874,86.194148356818,6146035.25992256,109.75,0.13,NA,0.13
"9406",86.7831744275936,86.8813454393895,85.016096215267,85.6051222860425,6194420.21504429,109,NA,NA,NA
"9407",82.8563339557568,83.0035904734506,80.1566311313689,80.8929137198383,12749053.6880869,103,NA,NA,NA
"9408",81.6782818142057,84.4270701444915,81.0401702375322,82.0218803554914,10321529.5580982,104.4375,NA,NA,NA
"9409",81.4819397906139,83.0526759793486,81.0892557434302,82.0218803554914,7130032.45250334,104.4375,NA,NA,NA
"9410",81.6782818142057,82.3654788967771,80.107545625471,81.8255383318996,7522332.57547712,104.1875,NA,NA,NA
"9411",82.561820920369,85.8014643096344,82.4636499085731,85.6051222860425,9251458.07693247,109,NA,NA,NA
"9412",84.4270701444915,85.5069512742466,83.3471890147363,84.7215831798792,7034281.17289403,107.875,NA,NA,NA
"9413",83.3471890147363,84.2798136267976,82.2182223790833,83.2981035088384,5828095.17324112,106.0625,NA,NA,NA
"9414",83.2981035088384,84.4270701444915,82.4636499085731,83.5926165442261,8173492.20835213,106.4375,NA,NA,NA
"9415",83.2490180029404,85.8014643096344,81.2365122611241,85.8014643096344,8619397.76844762,109.25,NA,NA,NA
"9416",85.6051222860425,86.3904903804099,84.1325571091037,84.3288991326956,7612863.37308645,107.375,NA,NA,NA
"9417",83.6417020501241,86.3904903804099,81.8255383318996,86.0959773450221,10420846.044927,109.625,NA,NA,NA
