"","PerChgPriRel","rsi","macd","ema.20","sma.20","sma.50","dema.20"
"1996-05-02",0,43.5341057687846,-1.76552112010013,20.940509015231,21.1126689201789,21.9088473372714,20.4349911940438
"1996-05-03",0,44.1830062567696,-1.6723584046714,20.9093575908962,21.0209213324565,21.8478411490715,20.4237997020905
"1996-05-06",0,41.8521938771595,-1.66312530200631,20.8607467897942,20.9029601482419,21.7768261331202,20.3774513084491
"1996-05-07",0,39.6023239581646,-1.7203718366664,20.7963394097124,20.7885735453672,21.7043812846328,20.3007987255642
"1996-05-08",0,40.6743854443448,-1.72053345605269,20.7444419544173,20.6954071907006,21.6185004365444,20.2491407806353
"1996-05-09",0,44.1084971268357,-1.61798972813491,20.717981041518,20.5987018226677,21.5421660325517,20.2459105821397
"1996-05-10",1,42.6320412431468,-1.56575720009416,20.6826547002249,20.5532123605204,21.4815518824601,20.2235814043794
"1996-05-13",1,46.489919326336,-1.41423704231035,20.6734638030615,20.4946556200977,21.442877639241,20.2497961998628
"1996-05-14",1,49.420338138515,-1.20513526877891,20.6833650539758,20.4325559143117,21.4156547027,20.3090050209568
"1996-05-15",0,50.514762367561,-0.999793271869165,20.6991546378146,20.4717478691454,21.3789042916493,20.3747337552228
"1996-05-16",0,49.3644681847597,-0.85527295464819,20.706609142562,20.5049703324216,21.3483450791911,20.4198300387981
"1996-05-17",0,55.8592719660873,-0.566349131915933,20.7543415496879,20.5609029467972,21.3259167054821,20.5380612051106
"1996-05-20",0,59.005219011624,-0.24240461480618,20.8202990439511,20.6109174455769,21.3192322976566,20.6842926555717
"1996-05-21",0,55.19262830553,-0.0689529584598891,20.8594809444882,20.6525556865902,21.2968055047463,20.7718778364404
"1996-05-22",0,53.1383922538855,0.0218468369703961,20.8835457201137,20.6905995862783,21.2834264139029,20.826058657446
"1996-05-23",0,49.5625365590042,0.0106335843804262,20.8848246847406,20.7035858486141,21.2595476572732,20.8339697388942
"1996-05-24",0,48.0160016335821,-0.0347639586295689,20.8768734309434,20.7165563029616,21.2299432473045,20.8236678217419
"1996-05-28",0,46.454930457976,-0.106505718622385,20.8605710271432,20.7164041510749,21.1869874104718,20.7976828249037
"1996-05-29",0,42.3749053964333,-0.262319545550083,20.8207730994885,20.7114424187673,21.1206602534317,20.7278666010126
"1996-05-30",0,43.8239946081801,-0.35427581782671,20.7915967598599,20.7088755966775,21.0667297207663,20.6811408587178
"1996-05-31",0,42.2967320468479,-0.459329469307224,20.7560907069743,20.7015268581464,21.0289976336461,20.6240298914254
"1996-06-03",0,38.3397143351969,-0.638316111590587,20.6989180491945,20.678644795175,20.9941078228107,20.527706811421
"1996-06-04",0,40.5188899698991,-0.735004797017991,20.6562988187107,20.6712683926644,20.9635138327784,20.462833156954
"1996-06-05",0,37.6527457921011,-0.877193452376102,20.5995217380201,20.6650519012907,20.9500651867868,20.3731116377108
"1996-06-06",1,29.5051273604763,-1.2506873228145,20.4821160093958,20.6208191742082,20.9151232095902,20.1710445451224
"1996-06-07",1,31.7004509437783,-1.49472550416386,20.3850001910049,20.570609051574,20.880187555589,20.015687887642
"1996-06-10",1,35.4867314915617,-1.60479087401086,20.3130732196462,20.5347446782639,20.8543185732404,19.9138567329933
"1996-06-11",0,37.6149779604486,-1.63589152952879,20.2571048483052,20.4917074302917,20.8246430273246,19.8452709291678
"1996-06-12",1,37.2838330212516,-1.65181406311912,20.2041896949769,20.4379108703266,20.7978255656819,19.7837024389367
"1996-06-13",0,38.4508945018766,-1.62696438039545,20.1608682861955,20.3829188312511,20.7443210582993,19.7412318751664
"1996-06-14",0,34.0195019926125,-1.71376581638338,20.0920703859945,20.3159720010722,20.6764976751728,19.6501536282148
"1996-06-17",0,38.1527684804402,-1.69608584825326,20.0457643882362,20.2358749006796,20.6196474070801,19.6040390379875
"1996-06-18",0,34.799013056869,-1.75963851835388,19.9810974548293,20.1318682180802,20.5518192815571,19.5229330077124
"1996-06-19",0,38.8510820444353,-1.7227311265462,19.9385289984562,20.0469892012463,20.4930578276867,19.4854849429176
"1996-06-20",0,35.1538640473647,-1.78101995500936,19.8749665470449,19.9549373097503,20.4361854284106,19.4075606598045
"1996-06-21",0,30.347317356208,-1.97279595275528,19.7787469102904,19.8533215853716,20.3654644410404,19.2688000076284
"1996-06-24",1,34.8609602666515,-2.02459873348497,19.7099078730034,19.766051610317,20.3214463073982,19.1862444035256
"1996-06-25",0,35.4242778632832,-2.03342415734492,19.6499020375729,19.6847590308141,20.2678975376486,19.1218202855131
"1996-06-26",0,32.6846999223981,-2.10660392983658,19.5751171160062,19.6058574095318,20.2048023238034,19.0296663160584
"1996-06-27",1,33.9079190140371,-2.12153130471803,19.5120087740567,19.5257603091392,20.181745582562,18.9614076456734
"1996-06-28",1,34.5483403843566,-2.10007650306498,19.4571878534554,19.4516406042983,20.158213811274,18.9094250472312
"1996-07-01",1,45.8497267088939,-1.86171358417451,19.4531300342575,19.4145807518778,20.1447224837141,18.9538637541138
"1996-07-02",1,41.2477229385302,-1.77241333155755,19.4221334372232,19.358393233692,20.118343693745,18.942371786443
"1996-07-03",1,37.2240846743041,-1.80154464756125,19.3667636602415,19.2974237990648,20.0871798257368,18.8825971303618
"1996-07-05",0,35.6630557671637,-1.85445521275082,19.3052816800168,19.2651458630857,20.0545782211985,18.8115996946843
"1996-07-08",0,37.9064623601027,-1.8357663500979,19.2587635387494,19.2328679271066,20.0181700530931,18.7700110432542
"1996-07-09",1,40.6904474569689,-1.75067977781144,19.2280612119869,19.1981990329068,19.9860592865896,18.7580782775633
"1996-07-10",0,40.3012644635927,-1.67426585698681,19.1980058132773,19.1575527431553,19.9501340525248,18.7455901785377
"1996-07-11",0,32.5823487924524,-1.82656016579733,19.1184394629443,19.0906059129764,19.906546686562,18.6371224288311
"1996-07-12",0,31.0507541375824,-1.98248157061114,19.033926374405,19.0146927695018,19.8598525677239,18.5219848348621
"1996-07-15",1,23.4038940513896,-2.44622709290871,18.8766254115382,18.9118815660128,19.7961827335063,18.2711202903105
"1996-07-16",0,40.6858375890887,-2.38731053914238,18.8231125123791,18.8473256940546,19.7502091517194,18.2268581129815
"1996-07-17",0,37.6374543756606,-2.44841475112327,18.7450937399316,18.7791833847654,19.7023085761665,18.1350370606431
"1996-07-18",1,38.0221384602811,-2.45966871577152,18.6767824298321,18.7038682008141,19.6591756898655,18.0630209156238
"1996-07-19",1,37.0379638381723,-2.48318447119453,18.6058685465204,18.6369213706352,19.6127911003844,17.9864003297167
"1996-07-22",1,34.6250037199095,-2.57892258593697,18.5189373357082,18.5783428942287,19.5573208696648,17.8798140440557
"1996-07-23",1,30.7425989761067,-2.81570367879991,18.3992974326189,18.4886819609534,19.4956341475714,17.7127973992811
"1996-07-24",1,35.9025453518743,-2.84639357252124,18.318377042822,18.4121712978918,19.4349038087662,17.6240442790335
"1996-07-25",1,60.8013027812861,-1.84108240824503,18.4614881482097,18.4599904623053,19.4157761430008,17.9627637906089
"1996-07-26",1,61.1435118471262,-1.01841867019657,18.5955238306474,18.5078096267188,19.3961702855913,18.2655674102619
"1996-07-29",0,62.3813829669079,-0.296501745520883,18.732733931467,18.5628016657943,19.3813463446231,18.5583444042407
"1996-07-30",0,65.8919312603454,0.477994842652296,18.9046955680506,18.6189891839802,19.3679569785873,18.9024989050881
"1996-07-31",1,66.0543818293038,1.08098906878955,19.0625570089793,18.6907179306004,19.3502638877543,19.2033965699963
"1996-08-01",1,65.3836514809817,1.51488565909697,19.2008298208278,18.774401468324,19.3359181384303,19.4533600629442
"1996-08-02",1,67.6808784814175,1.9591393812191,19.3555361333276,18.8796036300337,19.3301798387007,19.7239882541708
"1996-08-05",1,68.205251856433,2.30785449672819,19.5023398205056,18.9836103126331,19.3301798387007,19.9685236468104
"1996-08-06",1,68.7512589603867,2.57831229339238,19.6419935133447,19.0852260370117,19.3335271802096,20.1901322211416
"1996-08-07",0,73.1940959298259,3.01033051998432,19.8295686797569,19.2201786987686,19.3516438716022,20.4952145659461
"1996-08-08",0,74.2249000354934,3.37177536881204,20.0152703198636,19.3910225370734,19.3783787338844,20.7855371293695
"1996-08-09",0,70.4726199296781,3.52545241238835,20.1627265212956,19.5576479571544,19.3993615119147,20.9930473407156
"1996-08-12",0,69.6302252810539,3.58281281056863,20.2915704820415,19.7643140493955,19.421297610006,21.1593862355248
"1996-08-13",1,60.9933780578908,3.38173461998978,20.3578868671447,19.8979716771584,19.4379399045127,21.2030540401516
"1996-08-14",1,64.2494461131081,3.32282911389516,20.4521533530283,20.0651601555205,19.4598652813089,21.3021171396435
"1996-08-15",1,63.1146958165471,3.20986817507645,20.5305888889553,20.2275552303393,19.484177021485,21.3705692283984
"1996-08-16",1,60.4326628212769,3.01996068593673,20.5855635985841,20.3863370645892,19.5189982565368,21.3952848334586
"1996-08-19",1,60.4326628212769,2.83643452980318,20.6353026215816,20.5570736899425,19.5519067250121,21.412909521561
"1996-08-20",1,61.5164404362538,2.69650631072891,20.6894421806313,20.7541261718591,19.5833867450094,21.4419746911814
"1996-08-21",1,65.1177508748727,2.68293297841811,20.7704071417153,20.9536232184722,19.6196701240384,21.5245239017653
"1996-08-22",1,65.8551264291845,2.66759004073085,20.8505143435208,21.0431476740362,19.6578708644847,21.6052884042471
"1996-08-23",1,66.6151351266354,2.6509683179853,20.9298454774075,21.1338790958125,19.6965543914159,21.6845120820575
"1996-08-26",1,64.552006893966,2.57058801497507,20.9924836793484,21.2114449312391,19.7395355166899,21.7319499329305
"1996-08-27",1,61.4763537774009,2.42379570473139,21.035449959455,21.2567098564828,19.7762909609086,21.7433651089829
"1996-08-28",1,68.483911661292,2.51368635800404,21.1337185209845,21.3319613143684,19.8303011262696,21.8631228309888
